penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.7689925909543294,0.04336767733133334,36168,10000,0,1862
l1,squared_hinge,False,0.013350234007791667,9.229940187300844,ovr,False,7.836967842064109,balanced,2019,0,1018,0.8194183346234657,0.02246973571252177,36168,10000,1,131
l2,hinge,True,0.03895555389976739,9.476862370001019,ovr,True,1.514425859238873,balanced,2019,0,1043,0.7781709609642817,0.06485319113306531,36168,10000,2,1716
l1,squared_hinge,False,0.03138177979886486,9.308715265034058,ovr,True,0.6550061888564387,balanced,2019,0,972,0.8201924140218954,0.021660659321607004,36168,10000,3,57
l2,hinge,True,0.08996193974041371,5.833494679785447,ovr,True,2.7425479345097425,balanced,2019,0,1044,0.8814552692690479,0.0,36168,10000,4,1785
l2,squared_hinge,True,0.014645725993162785,4.733543481284063,ovr,True,1.9245905828089231,,2019,0,1022,0.8856574145748093,0.005550508793710877,36168,10000,5,1716
l1,squared_hinge,False,0.09544173173614666,5.563092493329189,ovr,True,2.682458630651774,balanced,2019,0,1029,0.8151056065465001,0.03786723124348017,36168,10000,6,31
l2,squared_hinge,True,0.047001524549103835,7.4865844564493065,ovr,False,8.034134316359022,,2019,0,986,0.8546942386376203,0.04592698571067515,36168,10000,7,1605
l2,hinge,True,0.03233209225404664,3.495791309686541,ovr,True,7.078794923456831,,2019,0,1003,0.802941501714033,0.05952894221790121,36168,10000,8,1704
l2,hinge,True,0.045867039262491215,8.949164373952652,ovr,True,6.78551874108281,balanced,2019,0,953,0.8666371779276789,0.03985704427433226,36168,10000,9,1598
l2,hinge,True,0.08072792711323112,6.81870843878682,ovr,True,1.731563865763798,balanced,2019,0,957,0.8830034280659074,0.002064630456224819,36168,10000,10,1613
l2,hinge,True,0.07324213145339267,6.372452687191247,ovr,True,4.329797042393135,,2019,0,1012,0.8493862656198164,0.016439948977891514,36168,10000,11,1740
