penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,False,0.09893717293184191,1.1144504305293212,ovr,False,9.063469911640649,,2019,0,960,0.8044735629830578,0.07554808651381217,13024,10000,51,13
l2,hinge,True,0.08083524172628903,3.811048736715789,ovr,False,2.3242137761220585,,2019,0,1008,0.7122383170394636,0.20474803422568527,13024,10000,52,494
l2,hinge,True,0.036450087234391006,6.067798763079562,ovr,False,0.4573562817314022,,2019,0,968,0.7741208988073911,0.10335597756849622,13024,10000,53,485
l2,hinge,True,0.018469815452202276,5.823157679230303,ovr,False,3.70312144176913,,2019,0,1046,0.7937759123713979,0.040816030948555196,13024,10000,54,527
l1,squared_hinge,False,0.06782972705709159,8.6873733557562,ovr,False,4.566260091192339,balanced,2019,0,978,0.7291293443210319,0.2701587806419936,13024,10000,55,11
l1,squared_hinge,False,0.004384844612400599,3.5453593051702637,ovr,True,2.19288916652209,balanced,2019,0,964,0.7515995290986334,0.269158693274368,13024,10000,56,52
l2,hinge,True,0.09989976318960934,4.032242033434632,ovr,False,7.965315942077308,,2019,0,960,0.7986896657623995,0.0953471927949897,13024,10000,57,484
l2,hinge,True,0.003027561466396922,1.308019598575295,ovr,False,9.731099807646967,balanced,2019,0,967,0.6986743102830527,0.2204427124111859,13024,10000,58,485
l2,squared_hinge,False,0.06606992405671791,2.116935122778122,ovr,True,2.296570195999399,balanced,2019,0,989,0.7506270154066643,0.25140530369814484,13024,10000,59,17
l2,hinge,True,0.0853005948352462,2.331496207869241,ovr,False,2.163048689743351,,2019,0,997,0.4490454010339356,0.11728953668166398,13024,10000,60,497
l2,squared_hinge,False,0.08424901920611819,5.9926326133026375,ovr,True,2.681804501764092,balanced,2019,0,974,0.74904028254082,0.2596865579262322,13024,10000,61,15
l2,hinge,True,0.008985865401441672,7.0582483478483224,ovr,True,1.3463339628719475,,2019,0,950,0.794953165787992,0.009670922690304855,13024,10000,62,497
l2,squared_hinge,True,0.03919682390982661,2.6317531094566076,ovr,False,5.763767835813431,balanced,2019,0,982,0.7927522137482725,0.010871825836467335,13024,10000,63,495
l2,squared_hinge,True,0.06469190776534366,5.256157973809744,ovr,True,0.4770420625406996,,2019,0,1028,0.8062138506423708,0.013848297382493534,13024,10000,64,539
l2,squared_hinge,True,0.01863753850051278,4.361450855884909,ovr,False,5.755868111413654,balanced,2019,0,1026,0.6135537697701796,0.18155552528748004,13024,10000,65,511
l2,hinge,True,0.04966896951028068,6.6394414562429125,ovr,False,2.8314890446568337,balanced,2019,0,1032,0.7777038439883298,0.06254889421659562,13024,10000,66,497
l1,squared_hinge,False,0.04457997130664101,4.176814689455691,ovr,True,8.169943792681938,,2019,0,1003,0.808158878026309,0.03721145978563011,13024,10000,67,23
l2,hinge,True,0.011841453739657882,3.51158915192993,ovr,True,6.794042296304323,,2019,0,970,0.757639350975073,0.00869558655214845,13024,10000,68,491
l2,hinge,True,0.007255230226831313,1.1631389809490689,ovr,True,5.698035378473399,,2019,0,971,0.7762194809847981,0.006510805656898435,13024,10000,69,495
l2,hinge,True,0.056649575603953777,2.2789191868567626,ovr,False,6.339498631814277,,2019,0,1030,0.7933152479909914,0.007341304398137974,13024,10000,70,501
l2,hinge,True,0.0516472547036429,1.5211315968391412,ovr,False,3.5290266238431585,,2019,0,1035,0.7933664329221477,0.01155518316252076,13024,10000,71,506
l2,hinge,True,0.021762440191036427,3.696550115612452,ovr,True,2.832605880833973,,2019,0,1008,0.761273481087168,0.01442684968897074,13024,10000,72,528
l2,hinge,True,0.01564272967799339,5.000449709543936,ovr,True,0.7121901367937278,,2019,0,971,0.7766289604340482,0.008865995480883819,13024,10000,73,499
l2,hinge,True,0.045448194160273396,5.037729203428012,ovr,True,5.595011487357803,balanced,2019,0,988,0.7813379741004248,0.027321038882854615,13024,10000,74,503
l2,squared_hinge,False,0.07447438086713719,3.567957281479739,ovr,True,3.5386637024681216,,2019,0,960,0.8072375492654963,0.01709556058581487,13024,10000,75,13
l2,squared_hinge,True,0.06504021222690075,5.862321421565266,ovr,True,9.273391912743387,balanced,2019,0,999,0.7642933920253877,0.20694726885603723,13024,10000,76,513
l2,squared_hinge,True,0.03747523241077456,5.0068094048612855,ovr,True,0.8242675181582179,balanced,2019,0,1019,0.7800583508215182,0.036150392490711156,13024,10000,77,516
l1,squared_hinge,False,0.027463487934833036,9.764300589141154,ovr,False,1.2609977132167174,,2019,0,980,0.8062650355735271,0.0631935928006575,13024,10000,78,30
l2,hinge,True,0.0018991986879916469,0.15606781396892297,ovr,True,7.34737172723606,balanced,2019,0,972,0.7197113169882786,0.3020120832205781,13024,10000,79,440
