penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.8077690772301551,0.009805809714746223,26048,10000,0,1085
l2,squared_hinge,True,0.049694823404772256,4.629703216264842,ovr,False,2.5071839250984844,,2019,0,1020,0.8089973898357132,0.008424557948968034,26048,10000,1,1018
l2,hinge,True,0.0024162212175546155,3.702591826640124,ovr,False,6.967121456132253,balanced,2019,0,1002,0.8074619990787656,0.025147319398795862,26048,10000,2,994
l2,squared_hinge,False,0.05302871106953296,7.363285875867981,ovr,False,8.521391247087134,,2019,0,995,0.8194380469829572,0.0771432993238306,26048,10000,3,26
l2,hinge,True,0.04527510756894356,4.2894740709725,ovr,False,3.317322425321908,,2019,0,1008,0.82081989866421,0.032261024906380116,26048,10000,4,974
l2,squared_hinge,False,0.01182752540126993,4.036485990036135,ovr,False,9.993667362271395,balanced,2019,0,1046,0.7351450944265315,0.25688902900859856,26048,10000,5,28
l2,hinge,True,0.06500066449758155,3.1241659958893853,ovr,True,0.7462693284464392,,2019,0,1019,0.38891447873483803,0.09504487898203012,26048,10000,6,1038
l2,hinge,True,0.000928390825679405,6.373985833214884,ovr,True,4.264307707703101,,2019,0,1040,0.8085367726086289,0.01777740837415693,26048,10000,7,1055
l2,squared_hinge,False,0.020408928735559804,2.3401827321368898,ovr,False,1.5830025627091442,,2019,0,964,0.8195915860586519,0.044252130034785786,26048,10000,8,27
l2,hinge,True,0.013218095526385162,4.812836264790519,ovr,False,7.759312146397473,balanced,2019,0,1016,0.428681099339782,0.09920347342757097,26048,10000,9,983
l1,squared_hinge,False,0.09157967270413932,3.049176671249833,ovr,False,2.4531886806346614,,2019,0,957,0.8198986642100414,0.015895897348526263,26048,10000,10,24
l1,squared_hinge,False,0.0187968913224682,1.7316766045734058,ovr,True,5.19350407018685,,2019,0,978,0.8179026562260096,0.04884221976101028,26048,10000,11,86
l1,squared_hinge,False,0.0024041197001313957,9.199174543012548,ovr,False,7.166663902407575,,2019,0,997,0.8197451251343467,0.051366553725420754,26048,10000,12,159
l2,hinge,True,0.007082821223348941,6.4254596040941765,ovr,True,6.879812642434183,balanced,2019,0,987,0.3734070320896668,0.08396692455413324,26048,10000,13,1033
