penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l1,squared_hinge,False,0.016703899849022652,0.9576122851629869,ovr,True,2.412585040815664,balanced,2019,0,1022,0.815643230390666,0.02357969536614539,9042,10000,14,24
l2,hinge,True,0.07267377528076119,9.572995928951178,ovr,True,2.739647461247488,,2019,0,1000,0.8466366225220493,0.008733414282498013,9042,10000,15,394
l1,squared_hinge,False,0.09873314909314015,0.9369483549607737,ovr,False,1.2970952499046033,,2019,0,979,0.8949653017777655,0.004592437563470957,9042,10000,16,24
l1,squared_hinge,False,0.041665733423768885,5.723360054916865,ovr,True,7.2651269694725125,,2019,0,984,0.8979789322347866,0.030084010924472403,9042,10000,17,45
l2,hinge,True,0.029240100246896678,8.39781084605848,ovr,True,0.8494675888444134,,2019,0,1005,0.884873786944621,0.005696710997446572,9042,10000,18,397
l2,hinge,True,0.015536042613100693,1.91933433877622,ovr,False,0.12562707481747143,,2019,0,998,0.8917857834056789,0.021429531701262786,9042,10000,19,380
l2,squared_hinge,False,0.01657175712326389,5.053046442323631,ovr,False,6.5849436572678,,2019,0,1013,0.8913987116038596,0.014165963156299121,9042,10000,20,16
l2,hinge,True,0.07397724240060786,6.696899607996124,ovr,True,2.871214975925042,,2019,0,1010,0.8816113246150018,0.011373257126370918,9042,10000,21,397
l2,hinge,True,0.05338268255306974,0.5337054625392883,ovr,True,6.406288265651742,balanced,2019,0,1021,0.7641903287345517,0.026914934526732007,9042,10000,22,400
l1,squared_hinge,False,0.09004426774784265,8.987614915605674,ovr,False,3.911165668093388,balanced,2019,0,1007,0.8018745334402388,0.023596127096430386,9042,10000,23,10
l2,squared_hinge,False,0.04563225752491528,3.142304694128214,ovr,True,5.327958230117927,,2019,0,998,0.8947994138627001,0.04551850170634386,9042,10000,24,18
l2,hinge,True,0.08812508735628359,9.712970599009005,ovr,False,5.688403207002797,balanced,2019,0,998,0.8729022090740689,0.014684159553516998,9042,10000,25,388
l1,squared_hinge,False,0.015279223535502135,8.887657814642521,ovr,True,9.552484773534728,balanced,2019,0,955,0.8157814703198872,0.02483861790743483,9042,10000,26,27
l1,squared_hinge,False,0.05647462074568916,9.326534735949568,ovr,True,7.145401644599136,,2019,0,1001,0.8973430285603694,0.02607165308841021,9042,10000,27,35
l1,squared_hinge,False,0.05234574943973997,4.630151135580097,ovr,True,9.727860751579678,,2019,0,1003,0.8977853963338771,0.028573817752576038,9042,10000,28,40
l1,squared_hinge,False,0.050590422177241356,8.062287796770057,ovr,True,9.294687003231076,balanced,2019,0,981,0.8142608310984545,0.02419065022059841,9042,10000,29,16
l2,squared_hinge,True,0.02071648032211664,8.051363900512696,ovr,True,2.7668697100534487,balanced,2019,0,953,0.8476319500124416,0.01693154545271608,9042,10000,30,376
l2,squared_hinge,False,0.08558004306414678,2.987703560674124,ovr,False,0.42888920166457456,,2019,0,1010,0.8865879620669634,0.04336424059239484,9042,10000,31,11
l2,hinge,True,0.03388717305501593,5.65936452510665,ovr,True,0.7271445030332114,,2019,0,1008,0.8832978517514999,0.00022347259111811572,9042,10000,32,395
l2,squared_hinge,True,0.050532678125595226,9.494291114124676,ovr,True,1.6265557477718227,,2019,0,1045,0.8942741021316597,0.006019278228160044,9042,10000,33,410
l2,hinge,True,0.0006847329575685516,3.0872383509936534,ovr,True,3.9415083567351994,balanced,2019,0,1050,0.8902098482125577,0.013713544244419527,9042,10000,34,415
l2,hinge,True,0.07447078195546242,3.1198201230452267,ovr,False,6.571918651540691,,2019,0,1006,0.6314523486963974,0.03926149671831827,9042,10000,35,390
l2,hinge,True,0.09458519208013508,0.34316128246161093,ovr,False,1.3987076986384384,balanced,2019,0,1003,0.8494567170781608,0.010990368853730177,9042,10000,36,388
