penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.6382586663595532,0.25414277196999535,6512,10000,0,293
l2,hinge,True,0.022347886363171417,3.4883082212812027,ovr,False,6.602151884198219,,2019,0,972,0.7945026680486775,0.019308731101089164,6512,10000,1,246
l2,hinge,True,0.08311637854558919,5.090071460083897,ovr,False,2.8466065738139616,,2019,0,1027,0.358439863334485,0.07701279913688741,6512,10000,2,256
l2,hinge,True,0.006620366602252301,6.000267775055732,ovr,False,0.4762888733307742,,2019,0,1050,0.7804138354639334,0.014532620483168808,6512,10000,3,261
l2,squared_hinge,False,0.05190789895596611,9.676181608746896,ovr,False,3.018851327283226,,2019,0,1030,0.8088986141502553,0.05668594928066635,6512,10000,4,11
l2,hinge,True,0.001827034051186617,4.958865620416158,ovr,False,1.4818639629659558,balanced,2019,0,983,0.5658182655764137,0.20520125176006657,6512,10000,5,242
l2,hinge,True,0.07285566324009243,9.715801274852465,ovr,True,7.18895038909053,,2019,0,1043,0.8009136627125801,0.10939279257947258,6512,10000,6,272
l2,hinge,True,0.09948418437304972,1.6085441629557045,ovr,False,0.6151604128146384,,2019,0,993,0.7969595761833468,0.021175786220886807,6512,10000,7,247
l1,squared_hinge,False,0.017337278388251966,6.8214461489486276,ovr,True,3.454845539601574,balanced,2019,0,982,0.7454412837345004,0.28241975320517565,6512,10000,8,19
l2,hinge,True,0.04100799646581275,9.364042880413942,ovr,True,5.28880653290833,,2019,0,1041,0.8080156627893585,0.04876565897136417,6512,10000,9,271
l2,hinge,True,0.04878305212923411,9.97116257957554,ovr,False,8.220950962276236,balanced,2019,0,1039,0.7910476409842988,0.015825856472542844,6512,10000,10,262
l2,squared_hinge,False,0.09621754858187762,8.35030440199882,ovr,True,5.575905558254858,,2019,0,972,0.8112787439057162,0.022709554506446995,6512,10000,11,8
l2,hinge,True,0.06118941938375791,2.8619116873178103,ovr,False,8.798049401256103,,2019,0,950,0.7951168950823448,0.06526872615617424,6512,10000,12,234
l2,hinge,True,0.0457826747920004,6.471513654476307,ovr,True,2.972232924429603,balanced,2019,0,1014,0.699681369726285,0.22980470468671535,6512,10000,13,266
l1,squared_hinge,False,0.04793742964188619,6.379215147408313,ovr,False,4.37365611311184,balanced,2019,0,964,0.7321970133210488,0.26273268104217573,6512,10000,14,12
l2,hinge,True,0.056985029889138804,6.709591229770003,ovr,True,4.2320959836903365,balanced,2019,0,965,0.758148105493493,0.18542611851911178,6512,10000,15,247
