penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.7883435582822086,0.1430823095275473,32235,10000,0,1391
l2,squared_hinge,False,0.07966051852575584,2.346841325677887,ovr,True,2.815481979286098,balanced,2019,0,985,0.7208588957055214,0.21521773679324452,32235,10000,1,33
l1,squared_hinge,False,0.0731732355932279,2.8756457763364116,ovr,True,7.920042778683693,,2019,0,1016,0.8312883435582822,0.11730256004744491,32235,10000,2,36
l2,squared_hinge,False,0.07582475351511289,3.254688872558727,ovr,True,1.25736246869856,balanced,2019,0,1045,0.7024539877300614,0.21865884833719987,32235,10000,3,36
l2,hinge,True,0.0633544017449447,6.321242883255349,ovr,False,8.1836128445247,,2019,0,1038,0.8098159509202454,0.09950248756218905,32235,10000,4,1256
l2,hinge,True,0.024254746392075824,7.82882148304792,ovr,False,8.230714785163393,,2019,0,966,0.7668711656441718,0.13732079764791158,32235,10000,5,1195
l2,hinge,True,0.0976043520063777,7.792350294048023,ovr,False,2.91105852083905,,2019,0,1050,0.5,0.16210629749577005,32235,10000,6,1313
l1,squared_hinge,False,0.03868618472298699,2.385329169508725,ovr,True,1.9201454580950248,balanced,2019,0,1002,0.7147239263803681,0.22017638724957211,32235,10000,7,41
l1,squared_hinge,False,0.0556962493374373,4.415826958045471,ovr,False,5.155482128055709,,2019,0,956,0.8251533742331288,0.19829465837931495,32235,10000,8,50
l1,squared_hinge,False,0.01789708191252522,7.335034747287485,ovr,False,2.3846102628789896,balanced,2019,0,1039,0.6993865030674846,0.21465374723577285,32235,10000,9,90
l2,hinge,True,0.09658863509173647,3.9085646844524935,ovr,False,8.415509035286568,,2019,0,1011,0.7975460122699386,0.12935323383084577,32235,10000,10,1249
l2,hinge,True,0.08401478243482695,5.716853129381046,ovr,True,6.286578067710663,,2019,0,1035,0.49079754601226994,0.2048929485800448,32235,10000,11,1315
l1,squared_hinge,False,0.08882564659382837,5.704937355464777,ovr,True,9.062440141183746,balanced,2019,0,1046,0.7024539877300614,0.2169949822372361,32235,10000,12,28
l2,hinge,True,0.05715752856523514,5.811644501479134,ovr,False,4.72155410887988,balanced,2019,0,1045,0.8220858895705522,0.20575734494647913,32235,10000,13,1317
l2,hinge,True,0.07296559431860627,0.3850193385340851,ovr,False,8.898838982573404,balanced,2019,0,956,0.6932515337423313,0.22948948285452364,32235,10000,14,1198
l2,hinge,True,0.009186880655095825,6.534428972571281,ovr,True,4.242704695613462,balanced,2019,0,1039,0.8220858895705522,0.06550031300451385,32235,10000,15,1399
l2,hinge,True,0.06880743839092267,3.491746931910508,ovr,True,0.2815979836320902,,2019,0,955,0.6165644171779141,0.2582146726437931,32235,10000,16,1225
l2,hinge,True,0.05409337383202766,2.754212139925189,ovr,False,0.8642889565036359,balanced,2019,0,1025,0.4815950920245399,0.18612527545366275,32235,10000,17,1235
l2,hinge,True,0.02118102039250111,9.20312924256424,ovr,True,1.1778367373544776,balanced,2019,0,1024,0.4233128834355828,0.10932482116104325,32235,10000,18,1359
l1,squared_hinge,False,0.0020113568769463725,3.9903858351616384,ovr,False,4.234875630449477,balanced,2019,0,965,0.696319018404908,0.20719106066860865,32235,10000,19,150
l2,squared_hinge,False,0.021540227242853042,4.619889390664079,ovr,True,6.377788145126802,balanced,2019,0,956,0.7208588957055214,0.21521773679324452,32235,10000,20,38
l2,hinge,True,0.09362927554519061,3.3773740743992247,ovr,True,6.001463772711198,,2019,0,1022,0.3834355828220859,0.10300222688660321,32235,10000,21,1488
l2,hinge,True,0.025622000050812735,6.301411758711624,ovr,False,3.7624670432416987,balanced,2019,0,952,0.7791411042944786,0.06999866270517299,32235,10000,22,1205
l2,hinge,True,0.03376686939131782,0.2784587927480855,ovr,True,4.124451439715497,,2019,0,989,0.8282208588957055,0.19074233429657322,32235,10000,23,1299
l2,hinge,True,0.03629950550468214,1.1342702741805846,ovr,True,6.576005326226441,balanced,2019,0,971,0.7423312883435583,0.06923456345076331,32235,10000,24,1267
l2,squared_hinge,True,0.051829752101999374,3.5837460895686113,ovr,True,8.655286167163595,,2019,0,957,0.8220858895705522,0.15629633290501135,32235,10000,25,1253
l2,hinge,True,0.038991866199927123,1.1707494577955064,ovr,True,8.654965226689182,,2019,0,1006,0.7975460122699386,0.12935323383084577,32235,10000,26,1305
l2,hinge,True,0.09252765200381986,7.3245545670542045,ovr,True,9.054484112994567,,2019,0,982,0.8067484662576687,0.10696517412935322,32235,10000,27,1281
l2,hinge,True,0.08443610270419535,8.432223820723792,ovr,True,9.317595410089096,,2019,0,974,0.8220858895705522,0.14384204803795592,32235,10000,28,1327
l2,hinge,True,0.05006468319539134,8.715056508384247,ovr,False,6.918667592960669,balanced,2019,0,1047,0.8098159509202454,0.09950248756218905,32235,10000,29,1311
l2,hinge,True,0.09469505201005024,5.010686899180026,ovr,False,7.424378133533821,balanced,2019,0,1020,0.8006134969325154,0.2042964957061207,32235,10000,30,1274
l2,squared_hinge,False,0.09303514656632299,8.276962315088785,ovr,True,2.5668336471135893,,2019,0,1050,0.8282208588957055,0.20734804745264715,32235,10000,31,24
l2,hinge,True,0.03515652051307872,7.027074342432835,ovr,False,9.490462569820481,balanced,2019,0,980,0.7822085889570553,0.16410594088381622,32235,10000,32,1191
l2,squared_hinge,True,0.05028911189199266,8.369984246199135,ovr,False,9.917756333126652,,2019,0,1022,0.7883435582822086,0.05679384534282231,32235,10000,33,1242
l2,squared_hinge,True,0.02661008619791432,4.248116128604652,ovr,True,8.741551364409093,balanced,2019,0,1020,0.8190184049079755,0.16791044776119401,32235,10000,34,1294
l2,hinge,True,0.006634948278912018,8.933441810389233,ovr,True,3.9802510874965624,balanced,2019,0,990,0.7116564417177914,0.1518575800390335,32235,10000,35,1251
l2,squared_hinge,True,0.05627736539687438,2.2589983212282685,ovr,False,1.1229704821798518,balanced,2019,0,1013,0.656441717791411,0.19530561063013718,32235,10000,36,1219
l1,squared_hinge,False,0.007842164246918314,2.369757920803496,ovr,True,6.229328506305701,,2019,0,1001,0.8251533742331288,0.11562222002569932,32235,10000,37,170
l1,squared_hinge,False,0.09213702650402758,5.152418115251673,ovr,True,7.6398324835474805,,2019,0,1003,0.8312883435582822,0.11730256004744491,32235,10000,38,37
l1,squared_hinge,False,0.028695987639516248,8.245973123411424,ovr,False,0.30646701238455964,,2019,0,969,0.8251533742331288,0.19829465837931495,32235,10000,39,78
l2,hinge,True,0.04984976734003944,6.78823806222286,ovr,False,1.0218004832426764,,2019,0,1037,0.7975460122699386,0.12935323383084577,32235,10000,40,1260
l2,hinge,True,0.043720521753872615,2.908184883149158,ovr,False,1.7218231692350099,,2019,0,1018,0.8128834355828221,0.14150081303649265,32235,10000,41,1232
l2,hinge,True,0.04767346096062049,7.152377654819313,ovr,True,2.4334434205766042,balanced,2019,0,952,0.6134969325153374,0.26143629340636126,32235,10000,42,1212
l2,hinge,True,0.05351089706093832,1.0809518964591631,ovr,True,8.757469878211277,,2019,0,997,0.7914110429447853,0.016299007494665355,32235,10000,43,1254
l2,squared_hinge,True,0.0504033366951966,0.38658847225153914,ovr,False,9.719462723082556,,2019,0,998,0.8128834355828221,0.2198425480699347,32235,10000,44,1200
l2,squared_hinge,True,0.021387072515969816,2.8016643951834617,ovr,False,1.4498164240314388,,2019,0,1045,0.7914110429447853,0.1442786069651741,32235,10000,45,1266
