penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.8852097130242825,0.08888888888888888,44758,10000,0,2372
l2,squared_hinge,True,0.020439592289021397,1.6791372735394858,ovr,False,5.7746175701697116,,2019,0,1036,0.8940397350993378,0.047547281323877075,44758,10000,1,2285
l2,squared_hinge,True,0.017102195901168068,0.7291978746276679,ovr,True,8.389102035336329,balanced,2019,0,981,0.8675496688741722,0.22039007092198581,44758,10000,2,2368
l2,squared_hinge,True,0.014321352478177996,0.5925188217516424,ovr,True,4.058212781969756,,2019,0,983,0.891832229580574,0.08888888888888888,44758,10000,3,2371
l2,hinge,True,0.08958623701929852,6.10163606129666,ovr,False,0.9169259829531426,,2019,0,999,0.18543046357615894,0.027423167848699803,44758,10000,4,2112
l2,hinge,True,0.06472013565008065,1.5568101889727393,ovr,True,9.990884403033627,balanced,2019,0,969,0.8830022075055187,0.0,44758,10000,5,2283
l2,squared_hinge,True,0.09966790376162556,7.372581348333989,ovr,False,8.404860453809269,,2019,0,1005,0.8498896247240618,0.06687352245862885,44758,10000,6,2086
l2,squared_hinge,True,0.06340907233491307,9.961053072505155,ovr,True,8.181182193154116,,2019,0,952,0.6931567328918322,0.03903664302600471,44758,10000,7,2289
l2,hinge,True,0.00479127130629061,9.977762967290046,ovr,True,6.654715520223173,balanced,2019,0,1022,0.8719646799116998,0.03584515366430258,44758,10000,8,2446
l2,squared_hinge,True,0.09169810769022325,6.983515133558726,ovr,False,3.2954087470002036,,2019,0,1039,0.8896247240618101,0.045065011820330965,44758,10000,9,2100
l2,hinge,True,0.05922248736535398,1.9446892719581717,ovr,False,1.8634874895362579,,2019,0,966,0.8233995584988962,0.059633569739952735,44758,10000,10,2106
l2,squared_hinge,False,0.03895299580118928,7.763860334588669,ovr,False,9.075250886459628,,2019,0,1002,0.8896247240618101,0.07763002364066193,44758,10000,11,72
l2,squared_hinge,True,0.09166118267244779,0.4576689128528295,ovr,True,2.701592811188415,balanced,2019,0,997,0.8300220750551877,0.1119385342789598,44758,10000,12,2272
l1,squared_hinge,False,0.0750667303949374,4.448056103193044,ovr,False,7.3918460034757345,,2019,0,1017,0.9006622516556292,0.0567966903073286,44758,10000,13,139
