penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.7934740882917466,0.007148528154811361,19536,10000,0,783
l1,squared_hinge,False,0.021879861785605463,8.780972602094746,ovr,False,7.458984318044128,,2019,0,989,0.8083685220729366,0.08920088181567905,19536,10000,1,51
l2,hinge,True,0.039876213150386544,8.920198217691482,ovr,True,9.887510167843141,balanced,2019,0,963,0.7702879078694818,0.029159790145608665,19536,10000,2,765
l1,squared_hinge,False,0.05569130606485079,6.38286584950668,ovr,False,9.440688475033665,balanced,2019,0,952,0.7262188099808061,0.2599290457821254,19536,10000,3,33
l2,squared_hinge,False,0.034310587691693685,5.781827507084722,ovr,False,5.530150450901793,balanced,2019,0,995,0.7332821497120922,0.24381285762326604,19536,10000,4,65
l1,squared_hinge,False,0.09234722780509202,6.12842928895275,ovr,False,5.322115234704716,,2019,0,953,0.8085220729366602,0.05854500365795021,19536,10000,5,35
l2,squared_hinge,False,0.07697864570721591,0.6271139995634321,ovr,True,1.8296616702092146,balanced,2019,0,1030,0.741190019193858,0.262213011767789,19536,10000,6,74
l2,hinge,True,0.04552611283681372,6.984064384756663,ovr,True,5.3492858681587165,,2019,0,970,0.8053742802303263,0.019826889804828933,19536,10000,7,1117
l2,hinge,True,0.024181482768065206,3.3551500326168675,ovr,True,3.329671283277132,,2019,0,991,0.7866410748560461,0.06789569000244458,19536,10000,8,793
l2,hinge,True,0.08765629325644847,7.897768141693346,ovr,True,8.735716903924763,balanced,2019,0,1038,0.7760460652591171,0.002475215662177824,19536,10000,9,810
l2,hinge,True,0.011567961460519081,5.367896846946552,ovr,True,5.5762411122546585,balanced,2019,0,952,0.8045297504798464,0.06810225811272277,19536,10000,10,739
l1,squared_hinge,False,0.007504334809476766,5.661760530066887,ovr,True,3.466009179425348,balanced,2019,0,1012,0.7459500959692899,0.2675676813508297,19536,10000,11,75
l1,squared_hinge,False,0.09669199023087176,7.020066360921699,ovr,True,6.101127763898113,balanced,2019,0,987,0.73489443378119,0.26518236378607263,19536,10000,12,32
l2,squared_hinge,False,0.06428796090186077,0.2868342699105424,ovr,False,2.954439824528958,balanced,2019,0,993,0.7335892514395393,0.24390739601853076,19536,10000,13,19
l2,squared_hinge,True,0.010686724101557368,7.672787667928462,ovr,True,1.8260342940950554,balanced,2019,0,1022,0.8115930902111325,0.013743991659336912,19536,10000,14,794
l2,hinge,True,0.0038374564199940087,5.189018122141485,ovr,True,9.529156812902167,,2019,0,979,0.7897120921305182,0.02450135557286625,19536,10000,15,751
l2,hinge,True,0.027724293387936524,1.021652958948695,ovr,False,0.438246803534876,,2019,0,1050,0.7898656429942419,0.03309474249918856,19536,10000,16,764
l2,hinge,True,0.016708133143786066,8.02660303216894,ovr,False,6.503751210927456,,2019,0,1031,0.4823800383877159,0.11946481621763849,19536,10000,17,749
l2,hinge,True,0.03263483634737563,7.428457825538181,ovr,False,8.579624064441715,balanced,2019,0,954,0.8055278310940499,0.013298824603328093,19536,10000,18,699
l2,squared_hinge,True,0.04939991745865107,8.831034465516995,ovr,False,8.770030120531807,,2019,0,1030,0.28660268714011516,0.03604380132836693,19536,10000,19,746
l2,hinge,True,0.09636157513277797,7.20996543595165,ovr,False,9.803009644820687,,2019,0,971,0.8022264875239923,0.03709113015403875,19536,10000,20,714
l1,squared_hinge,False,0.007376061466791381,1.5533342672511594,ovr,False,4.14783478804075,,2019,0,982,0.8072168905950096,0.0893564418231654,19536,10000,21,80
l2,squared_hinge,True,0.038325666726269,2.1891481705610913,ovr,True,8.274542319519579,balanced,2019,0,973,0.7683685220729367,0.02477798530534501,19536,10000,22,751
l2,squared_hinge,True,0.09959572097334196,6.775231942124284,ovr,True,7.291939672744863,balanced,2019,0,1029,0.7877159309021113,0.017110382020867426,19536,10000,23,779
l1,squared_hinge,False,0.05478326882381895,0.7080272467082711,ovr,False,3.729703843198535,,2019,0,1003,0.8080614203454894,0.08897153006877902,19536,10000,24,31
l2,hinge,True,0.07634584201146707,4.979876239616798,ovr,True,9.5154130964351,balanced,2019,0,1008,0.7947024952015355,0.01746990796995912,19536,10000,25,784
l1,squared_hinge,False,0.046741299737018766,5.992944186179941,ovr,True,3.724418777916373,,2019,0,1005,0.8073704414587332,0.019747405920118137,19536,10000,26,40
l1,squared_hinge,False,0.014022372974168215,9.89372610156203,ovr,False,4.212005990497771,,2019,0,1002,0.807447216890595,0.0918220161004398,19536,10000,27,68
l2,hinge,True,0.036968709780117945,7.192051016123035,ovr,True,1.367928444578864,,2019,0,957,0.7673704414587332,0.09576904739297555,19536,10000,28,743
l1,squared_hinge,False,0.04352545329000797,3.132844329815146,ovr,False,0.2504752387225061,,2019,0,993,0.808598848368522,0.0860415667405011,19536,10000,29,31
l2,squared_hinge,False,0.062190808973580126,9.456519668329038,ovr,False,0.5788035206705789,,2019,0,1015,0.806295585412668,0.09114634828176398,19536,10000,30,21
l2,hinge,True,0.05385544588301104,3.63635128574884,ovr,False,9.090715902703716,,2019,0,977,0.5616890595009597,0.14013065730544108,19536,10000,31,710
l2,squared_hinge,True,0.046954822668099395,4.213334062395037,ovr,True,2.0018131020622225,balanced,2019,0,1025,0.8044529750479846,0.02821490647061197,19536,10000,32,780
l2,squared_hinge,True,0.052022913804464076,0.5364130532062582,ovr,False,7.016214052548117,,2019,0,1007,0.8037619961612285,0.11959911487380558,19536,10000,33,722
l2,hinge,True,0.0856893575700514,1.1779249878597717,ovr,False,4.916745503220413,balanced,2019,0,983,0.7228406909788867,0.21704348507843307,19536,10000,34,712
l2,squared_hinge,False,0.05409729176544255,5.494056378882862,ovr,False,8.701237970198163,,2019,0,995,0.806295585412668,0.09114634828176398,19536,10000,35,22
l1,squared_hinge,False,0.014914951060904394,7.985861560892595,ovr,False,9.384873067242767,balanced,2019,0,1041,0.731362763915547,0.24839020110415208,19536,10000,36,49
l2,hinge,True,0.09139522376248176,3.87764998724822,ovr,True,9.554484945902026,,2019,0,962,0.5619193857965451,0.21433689982941673,19536,10000,37,729
l1,squared_hinge,False,0.06315449177091534,1.7268383195556103,ovr,False,6.353318724965689,balanced,2019,0,1019,0.7261420345489443,0.26001137741393837,19536,10000,38,21
l1,squared_hinge,False,0.02429377011634973,3.258017049735597,ovr,True,4.367989645223971,balanced,2019,0,966,0.7425719769673704,0.2709405286508788,19536,10000,39,42
l1,squared_hinge,False,0.006155954727113081,9.524023593931345,ovr,False,0.16196208494885211,,2019,0,1031,0.8072936660268714,0.08884530722798183,19536,10000,40,85
l2,hinge,True,0.025954418083636067,5.932408283448634,ovr,True,4.141926359318881,,2019,0,1029,0.8062188099808062,0.03924078156169776,19536,10000,41,779
l2,squared_hinge,False,0.0807761729571343,2.1578303812076576,ovr,True,4.757009226512624,balanced,2019,0,1017,0.746257197696737,0.246127499160959,19536,10000,42,19
l1,squared_hinge,False,0.053114759801624715,3.7384129980047938,ovr,True,8.970286293543447,,2019,0,980,0.8076007677543187,0.018286183203336207,19536,10000,43,35
l2,squared_hinge,False,0.08584692735131332,1.946268429557868,ovr,False,0.9872303954837048,balanced,2019,0,1013,0.7335892514395393,0.24390739601853076,19536,10000,44,18
l2,hinge,True,0.005144599722929215,3.4051446091146516,ovr,True,8.727913652891317,balanced,2019,0,968,0.7672168905950096,0.05882355554051111,19536,10000,45,731
l2,hinge,True,0.0017276963311201254,3.731389371566875,ovr,False,4.105570266740976,,2019,0,978,0.7940115163147793,0.037584024687588945,19536,10000,46,709
l2,hinge,True,0.01220648739588324,6.4691145248118325,ovr,True,3.7280879443085198,balanced,2019,0,1045,0.6492130518234165,0.17977475470726026,19536,10000,47,824
l2,squared_hinge,True,0.024965639901695258,1.5341728658395266,ovr,False,0.8179956813703985,balanced,2019,0,957,0.8061420345489443,0.018288188857310303,19536,10000,48,718
l2,squared_hinge,True,0.050247215993363285,6.238336330296654,ovr,True,8.253340946612482,balanced,2019,0,1039,0.7816506717850288,0.005878805509303508,19536,10000,49,809
l1,squared_hinge,False,0.03539642129982158,9.134395378172886,ovr,False,6.3738601528853165,balanced,2019,0,989,0.7280614203454895,0.253668030452087,19536,10000,50,32
l2,hinge,True,0.05744734987358642,7.634142342618418,ovr,False,7.604279690275328,balanced,2019,0,971,0.8069097888675624,0.06187275799078325,19536,10000,51,723
l1,squared_hinge,False,0.08088839720900323,9.187497539688865,ovr,True,6.599516500458525,balanced,2019,0,1045,0.73489443378119,0.26518236378607263,19536,10000,52,20
l2,hinge,True,0.051914684033536065,9.028476870822523,ovr,True,7.606236985533847,balanced,2019,0,984,0.4252591170825336,0.10956750332295634,19536,10000,53,763
l2,hinge,True,0.0006233249788620576,8.300014540632755,ovr,True,3.0584946720507804,balanced,2019,0,980,0.8023800383877159,0.056641733078841884,19536,10000,54,784
l2,squared_hinge,False,0.09093817050786393,2.0110057512917336,ovr,False,9.06859982885575,balanced,2019,0,974,0.7335892514395393,0.24390739601853076,19536,10000,55,22
l1,squared_hinge,False,0.0169378582969727,6.825544638022632,ovr,False,3.2361556309771617,balanced,2019,0,1037,0.7304414587332054,0.24950051279275506,19536,10000,56,46
l1,squared_hinge,False,0.040284400803298266,3.032520608510405,ovr,False,6.184435539142729,,2019,0,1049,0.8085220729366602,0.08629727127876081,19536,10000,57,35
l2,hinge,True,0.06259109201044528,5.003437969831836,ovr,False,7.156189032666474,,2019,0,984,0.727831094049904,0.17977652232540303,19536,10000,58,741
l2,hinge,True,0.06947263637463812,8.65483752972227,ovr,False,8.749576950869034,,2019,0,984,0.794932821497121,0.0761332685826398,19536,10000,59,735
l2,squared_hinge,True,0.08771982232666099,5.824494506282185,ovr,True,7.3299146731769085,,2019,0,986,0.3025719769673704,0.043126613359213695,19536,10000,60,775
l2,hinge,True,0.0581144990392198,4.301910972370813,ovr,False,3.4727411554536447,,2019,0,1011,0.7378886756238003,0.1429893473514536,19536,10000,61,752
l1,squared_hinge,False,0.07745065804299554,6.387667722102599,ovr,False,4.553089502666879,balanced,2019,0,1003,0.7243761996161229,0.2661522490737016,19536,10000,62,17
l2,hinge,True,0.0545235228421673,0.5082017141524116,ovr,False,4.1531859222041785,balanced,2019,0,1023,0.7805758157389635,0.1305891364533674,19536,10000,63,803
l1,squared_hinge,False,0.004938307509323756,7.736602740227115,ovr,True,1.924879918079636,,2019,0,1004,0.8075239923224569,0.038842726541856054,19536,10000,64,133
l2,hinge,True,0.03457277955331006,3.6614782567721775,ovr,False,8.483561194169063,balanced,2019,0,993,0.8072936660268714,0.016619473375891397,19536,10000,65,745
l2,squared_hinge,False,0.07591543483308362,7.6762995248005215,ovr,True,4.847740669722849,balanced,2019,0,975,0.7465642994241842,0.24607127114838934,19536,10000,66,19
l2,hinge,True,0.025988851898663887,3.884711237417199,ovr,False,7.975151349361829,,2019,0,1050,0.7802687140115163,0.01095367561198611,19536,10000,67,767
l1,squared_hinge,False,0.041597746546375776,4.734754980700309,ovr,False,5.694036258550913,balanced,2019,0,995,0.7276775431861804,0.2566649876361632,19536,10000,68,27
l1,squared_hinge,False,0.012358369399845151,0.26347492861667393,ovr,False,1.5090681275708382,balanced,2019,0,1009,0.7317466410748561,0.247220413454465,19536,10000,69,49
l1,squared_hinge,False,0.0762929006250933,1.5432264417424122,ovr,True,7.554522769606473,balanced,2019,0,966,0.7363531669865643,0.2666930816513162,19536,10000,70,24
l2,hinge,True,0.04707012666705433,6.070622060773612,ovr,True,0.35195069507827104,balanced,2019,0,956,0.7768138195777351,0.02534688523286778,19536,10000,71,726
l2,hinge,True,0.0014308725899540053,4.536893901367437,ovr,True,5.870090600467512,balanced,2019,0,1015,0.7210748560460652,0.19704005447080988,19536,10000,72,769
l2,squared_hinge,False,0.08121712651723953,7.588435563996919,ovr,False,1.7150192205293864,balanced,2019,0,985,0.7335892514395393,0.24390739601853076,19536,10000,73,20
l2,hinge,True,0.05297931251368116,2.8430181370762746,ovr,True,7.929190879852051,balanced,2019,0,972,0.6357005758157389,0.2182382127777556,19536,10000,74,762
l2,hinge,True,0.00666417298598983,1.6588779094386346,ovr,False,2.6124815400524204,,2019,0,965,0.8091362763915547,0.037795496672906936,19536,10000,75,710
l1,squared_hinge,False,0.09878679772126281,4.562543993950723,ovr,False,8.819544080489765,balanced,2019,0,998,0.7243761996161229,0.2661522490737016,19536,10000,76,18
